model,dataset,loss_function,optimizer,test_loss,test_accuracy,training_time_sec
vit,original,cross_entropy,sgd,1.6579536403656006,0.3908,735.6678431034088
vit,original,cross_entropy,rmsprop,2.308148391342163,0.1,721.4365389347076
vit,original,cross_entropy,adam,0.9958441705703736,0.6418,729.077320098877
vit,original,label_smoothing,sgd,1.8158636018753052,0.3822,719.4705550670624
vit,original,label_smoothing,rmsprop,2.2213820766448973,0.1475,725.0255167484283
vit,original,label_smoothing,adam,1.254654909324646,0.6585,721.9210741519928
vit,original,focal,sgd,1.1194298312187194,0.4021,716.9049170017242
vit,original,focal,rmsprop,1.8682916637420655,0.1,713.3861041069031
vit,original,focal,adam,0.6120506015777588,0.6299,716.3129117488861
vit,augmented,cross_entropy,sgd,1.6759891441345214,0.3825,713.4702758789062
vit,augmented,cross_entropy,rmsprop,2.3054290225982665,0.1,724.914304971695
vit,augmented,cross_entropy,adam,1.1562260898590089,0.5831,718.9580488204956
vit,augmented,label_smoothing,sgd,1.8461712074279786,0.3661,713.1075778007507
vit,augmented,label_smoothing,rmsprop,2.303430637359619,0.1,703.7730100154877
vit,augmented,label_smoothing,adam,1.3659429578781128,0.5974,710.5287461280823
vit,augmented,focal,sgd,1.1743520435333252,0.3762,719.0371000766754
vit,augmented,focal,rmsprop,0.9910587574005127,0.4677,704.3924558162689
vit,augmented,focal,adam,0.7078199343681335,0.5745,703.9330811500549
resnet18,original,cross_entropy,sgd,1.1907641622543335,0.5876,1761.0787920951843
resnet18,original,cross_entropy,rmsprop,0.8681148229599,0.7026,1775.3046731948853
resnet18,original,cross_entropy,adam,0.824469700050354,0.7177,1795.0154120922089
resnet18,original,label_smoothing,sgd,1.45640380859375,0.5783,1771.8351738452911
resnet18,original,label_smoothing,rmsprop,1.2336010278701781,0.6831,2545.1490581035614
resnet18,original,label_smoothing,adam,1.1319729568481445,0.7211,1781.6677808761597
resnet18,original,focal,sgd,0.8296436304092407,0.5377,1775.6408660411835
resnet18,original,focal,rmsprop,0.545874342250824,0.6885,2178.284014940262
resnet18,original,focal,adam,0.543287351512909,0.6837,1816.672044992447
resnet18,augmented,cross_entropy,sgd,1.281425912475586,0.5383,1784.5672390460968
resnet18,augmented,cross_entropy,rmsprop,1.0667693393707276,0.6248,1796.7391293048859
resnet18,augmented,cross_entropy,adam,1.0090902223587037,0.6511,1805.3434858322144
resnet18,augmented,label_smoothing,sgd,1.540701866340637,0.5177,1801.0269300937653
resnet18,augmented,label_smoothing,rmsprop,1.5226179817199708,0.6239,1795.633645772934
resnet18,augmented,label_smoothing,adam,1.2390749004364014,0.6626,1785.947121143341
resnet18,augmented,focal,sgd,0.8399882962703705,0.5192,3177.6928510665894
resnet18,augmented,focal,rmsprop,0.640699610042572,0.6176,1850.7482838630676
resnet18,augmented,focal,adam,0.7092231218338013,0.5934,1426.756421804428
