model,latent_dim,loss_type,optimizer,test_loss,recon_loss,kl_loss
AE,2,mse,sgd,0.1629230524982725,,
VAE,2,mse,sgd,0.1591128260919026,0.1589656822511128,0.00014714450281046862
AE,2,mse,rmsprop,0.02874982935828822,,
VAE,2,mse,rmsprop,0.08753408882447651,0.08750490018299648,2.918850950456025e-05
AE,2,mse,adam,0.02796530888548919,,
VAE,2,mse,adam,0.08751297149487904,0.08751249841281346,4.729245393459028e-07
AE,2,bce,sgd,0.6534589276994978,,
VAE,2,bce,sgd,0.6294953438213894,0.6292625335284642,0.0002328110209366839
AE,2,bce,rmsprop,0.3297193899154663,,
VAE,2,bce,rmsprop,0.4925239599091666,0.4923610429082598,0.00016291690715921245
AE,2,bce,adam,0.32303151229449684,,
VAE,2,bce,adam,0.49244734573364257,0.4924457162448338,1.630301986032074e-06
AE,8,mse,sgd,0.16774706171240125,,
VAE,8,mse,sgd,0.16468414500781467,0.16447843965462275,0.00020570511001694416
AE,8,mse,rmsprop,0.01686893638755594,,
VAE,8,mse,rmsprop,0.08755913725921086,0.08749844490630286,6.0692076172147475e-05
AE,8,mse,adam,0.01471538848536355,,
VAE,8,mse,adam,0.08762263098784856,0.08761760469845363,5.026516637631825e-06
AE,8,bce,sgd,0.6836485118184771,,
VAE,8,bce,sgd,0.6569061539513724,0.6566418557167053,0.0002642987869413836
AE,8,bce,rmsprop,0.294564496415002,,
VAE,8,bce,rmsprop,0.4926450369017465,0.4926031788417271,4.185867413928333e-05
AE,8,bce,adam,0.2856783203397478,,
VAE,8,bce,adam,0.49299696370533536,0.4929949535642351,2.0102001721430237e-06
AE,16,mse,sgd,0.16869751538549152,,
VAE,16,mse,sgd,0.16414767975466593,0.16390576314926147,0.0002419172602738919
AE,16,mse,rmsprop,0.017949001697557313,,
VAE,16,mse,rmsprop,0.08756453934737614,0.08750877749919891,5.576220207980701e-05
AE,16,mse,adam,0.012959049044975213,,
VAE,16,mse,adam,0.0876366646204676,0.08763153541939599,5.128987933858298e-06
AE,16,bce,sgd,0.6844024566241673,,
VAE,16,bce,sgd,0.6656960816383362,0.6654094692638942,0.0002866086692083627
AE,16,bce,rmsprop,0.2905645445074354,,
VAE,16,bce,rmsprop,0.480110583952495,0.4372517793519156,0.042858807708535875
AE,16,bce,adam,0.2823551178659712,,
VAE,16,bce,adam,0.47911273874555316,0.4321895329611642,0.04692320444328444
AE,32,mse,sgd,0.16875834127834866,,
VAE,32,mse,sgd,0.16425056307656424,0.16390831596510752,0.0003422478753408151
AE,32,mse,rmsprop,0.01655844045111111,,
VAE,32,mse,rmsprop,0.0862741658432143,0.0816283318740981,0.004645834308117628
AE,32,mse,adam,0.012805174326258046,,
VAE,32,mse,adam,0.08557463945661273,0.07537741487366813,0.010197224757501058
AE,32,bce,sgd,0.6876061201095581,,
VAE,32,bce,sgd,0.670047268799373,0.6696903931753976,0.0003568737183564476
AE,32,bce,rmsprop,0.2941984143938337,,
VAE,32,bce,rmsprop,0.4400911371707916,0.3859811098575592,0.05411002656391689
AE,32,bce,adam,0.28072959293637956,,
VAE,32,bce,adam,0.4385228670324598,0.3844371803147452,0.0540856879225799
