model_type,loss_type,optimizer,final_g_loss,final_d_loss
vanilla,bce,sgd,0.9815811362091955,0.798541844300329
vanilla,bce,rmsprop,0.7810463827589283,1.3494225945025342
vanilla,bce,adam,1.0297937385004772,1.2961085205492766
vanilla,lsgan,sgd,0.7228958834499735,0.08958385738989581
vanilla,lsgan,rmsprop,0.32688671643728523,0.45945968739773646
vanilla,lsgan,adam,0.4682288386217517,0.4200174725983181
vanilla,wgan,sgd,-3.5933374256509394,-0.35062109578392325
vanilla,wgan,rmsprop,-0.33576517610957746,-0.042148236181049924
vanilla,wgan,adam,-0.20910740347719778,-0.060391332005263566
dcgan,bce,sgd,5.792810035515704,0.2744741976989467
dcgan,bce,rmsprop,0.7881514533706333,1.3388220205459769
dcgan,bce,adam,0.9242789283633505,1.218648374489843
dcgan,lsgan,sgd,0.943654948022873,0.09171607427605911
dcgan,lsgan,rmsprop,0.29448248855172904,0.5436043007559307
dcgan,lsgan,adam,0.37976150671595565,0.44484923080939726
dcgan,wgan,sgd,-0.010075342853034653,-0.07092097600244275
dcgan,wgan,rmsprop,-0.005125104092584723,-0.0012077165275249518
dcgan,wgan,adam,0.0030699686181371354,-8.971040329983292e-05
